#auto generated file!
60.0;133;238;429
66.0;135;243;422
72.0;133;254;413
78.0;136;256;408
84.0;138;260;402
90.0;140;262;398
96.0;144;263;393
102.0;148;264;388
108.0;150;270;380
114.0;152;273;375
120.0;153;273;374
126.0;155;275;370
132.0;156;276;368
138.0;156;275;369
144.0;157;275;368
150.0;157;276;367
156.0;156;277;367
162.0;158;282;360
168.0;159;288;353
174.0;163;286;351
180.0;164;286;350
186.0;168;288;344
192.0;174;291;335
198.0;177;288;335
204.0;179;290;331
210.0;178;294;328
216.0;181;292;327
222.0;184;294;322
228.0;186;292;322
234.0;188;299;313
240.0;190;304;306
246.0;189;311;300
252.0;190;311;299
258.0;194;313;293
264.0;195;313;292
270.0;197;313;290
276.0;197;316;287
282.0;201;319;280
288.0;202;318;280
294.0;203;319;278
