#auto generated file!
60.0;40;63;97
66.0;39;65;96
72.0;39;69;92
78.0;42;69;89
84.0;42;70;88
90.0;41;69;90
96.0;42;71;87
102.0;40;70;90
108.0;39;71;90
114.0;39;70;91
120.0;41;70;89
126.0;39;71;90
132.0;40;71;89
138.0;40;71;89
144.0;38;70;92
150.0;36;73;91
156.0;35;76;89
162.0;35;76;89
168.0;36;77;87
174.0;35;76;89
180.0;37;76;87
186.0;38;75;87
192.0;41;76;83
198.0;42;78;80
204.0;41;78;81
210.0;41;77;82
216.0;43;76;81
222.0;44;77;79
228.0;44;82;74
234.0;45;81;74
240.0;46;79;75
246.0;46;77;77
252.0;46;76;78
258.0;46;78;76
264.0;47;76;77
270.0;47;76;77
276.0;47;75;78
282.0;47;77;76
288.0;48;78;74
294.0;48;78;74
