#auto generated file!
60.0;274;492;834
66.0;281;497;822
72.0;285;504;811
78.0;294;507;799
84.0;294;510;796
90.0;300;516;784
96.0;308;520;772
102.0;308;529;763
108.0;310;531;759
114.0;308;536;756
120.0;312;536;752
126.0;317;539;744
132.0;320;546;734
138.0;326;551;723
144.0;334;545;721
150.0;338;543;719
156.0;340;542;718
162.0;345;546;709
168.0;344;556;700
174.0;347;557;696
180.0;348;561;691
186.0;355;561;684
192.0;355;568;677
198.0;357;570;673
204.0;361;569;670
210.0;363;566;671
216.0;366;568;666
222.0;370;570;660
228.0;369;572;659
234.0;376;578;646
240.0;378;579;643
246.0;381;581;638
252.0;383;580;637
258.0;389;579;632
264.0;388;580;632
270.0;387;580;633
276.0;390;584;626
282.0;392;583;625
288.0;394;584;622
294.0;394;588;618
