#auto generated file!
60.0;175;330;495
66.0;180;332;488
72.0;180;334;486
78.0;181;342;477
84.0;187;347;466
90.0;192;351;457
96.0;189;358;453
102.0;191;366;443
108.0;191;370;439
114.0;192;376;432
120.0;191;392;417
126.0;196;389;415
132.0;198;389;413
138.0;203;393;404
144.0;204;402;394
150.0;207;405;388
156.0;206;408;386
162.0;211;401;388
168.0;212;402;386
174.0;211;405;384
180.0;212;406;382
186.0;212;404;384
192.0;213;409;378
198.0;214;408;378
204.0;217;408;375
210.0;216;404;380
216.0;224;395;381
222.0;226;390;384
228.0;230;393;377
234.0;234;394;372
240.0;237;392;371
246.0;238;393;369
252.0;235;399;366
258.0;238;405;357
264.0;237;406;357
270.0;240;401;359
276.0;245;398;357
282.0;248;404;348
288.0;250;405;345
294.0;247;402;351
